protein_ID	InterproScan
G_50100_0_11_Limosilactobacillus_reuteri	HTH_XRE, Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR, -, Helix-turn-helix, HTH-TYPE TRANSCRIPTIONAL REGULATOR, mbf_short4
G_50055_0_5_Limosilactobacillus_reuteri	HTH_XRE, Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR, -, Helix-turn-helix, HTH-TYPE TRANSCRIPTIONAL REGULATOR, mbf_short4
G_49938_0_26_Limosilactobacillus_reuteri	HTH_XRE, Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR, -, Helix-turn-helix, HTH-TYPE TRANSCRIPTIONAL REGULATOR, mbf_short4
G_49787_0_12_Limosilactobacillus_reuteri	HTH_XRE, Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR, -, Helix-turn-helix, HTH-TYPE TRANSCRIPTIONAL REGULATOR, mbf_short4
G_49852_0_46_Limosilactobacillus_reuteri	HTH_XRE, Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR, -, Helix-turn-helix, HTH-TYPE TRANSCRIPTIONAL REGULATOR, mbf_short4
G_49792_0_6_Limosilactobacillus_reuteri	Domain of unknown function (DUF3173), Protein of unknown function DUF3173
G_49844_0_6_Limosilactobacillus_reuteri	Domain of unknown function (DUF3173), Protein of unknown function DUF3173
G_49955_0_12_Limosilactobacillus_reuteri	LPXTG cell wall anchor motif, LPXTG cell wall anchor domain, Coil, -, consensus disorder prediction, Gram-positive cocci surface proteins LPxTG motif profile., LPXTG_anchor: LPXTG cell wall anchor domain, Surf_Exclu_PgrA: SEC10/PgrA surface exclusion domain, SEC10/PgrA surface exclusion domain
G_105570_0_12_Staphylococcus_aureus	DDE domain, -, Ribonuclease H superfamily, BLL1675 PROTEIN, Integrase catalytic domain profile., Integrase, catalytic core, Ribonuclease H-like, Ribonuclease H-like superfamily
G_49844_0_1_Limosilactobacillus_reuteri	consensus disorder prediction, -, Coil
G_49792_0_1_Limosilactobacillus_reuteri	consensus disorder prediction, -, Coil
G_49850_0_2_Limosilactobacillus_reuteri	DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, -, Integrase/recombinase, N-terminal
G_49704_0_4_Limosilactobacillus_panis	consensus disorder prediction, -, Coil
G_97256_0_3_Loigolactobacillus_backii	Protein of unknown function (DUF3397), Protein of unknown function DUF3397
G_50099_0_4_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_50160_0_9_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_49584_0_6_Limosilactobacillus_agrestis	DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, PHAGE INTEGRASE-RELATED, -, Phage integrase family, Integrase, catalytic domain, Phage integrase SAM-like domain, Core-binding (CB) domain profile., Core-binding (CB) domain, Tyrosine recombinase domain profile., Integrase/recombinase, N-terminal
G_21819_0_16_Clostridium_sp._SY8519	NfeD domain-like, -, NfeD-like C-terminal, partner-binding, NfeD-like, C-terminal domain, INNER MEMBRANE PROTEIN YBBJ
G_6995_0_12_Butyricicoccus_sp._AM29-23AC	-, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, ParE toxin of type II toxin-antitoxin system, parDE, Toxin-antitoxin system, RelE/ParE toxin family
G_6979_0_12_Butyricicoccus_sp._OM04-18BH	-, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, ParE toxin of type II toxin-antitoxin system, parDE, Toxin-antitoxin system, RelE/ParE toxin family
G_6949_0_6_Butyricicoccus_sp._AM42-5AC	-, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, ParE toxin of type II toxin-antitoxin system, parDE, Toxin-antitoxin system, RelE/ParE toxin family
G_48117_0_2_Lactobacillus_sp._M31	Coil, -
G_100718_0_14_Ruminococcus_sp._OM05-10BH	Helix-turn-helix domain, Helix-turn-helix domain, group 17, Putative DNA-binding domain, Putative DNA-binding domain superfamily, excise: DNA binding domain, excisionase family, SinI-like, DNA-binding domain
G_21819_0_8_Clostridium_sp._SY8519	tRNA-binding domain profile., tRNA-binding domain, OB-fold nucleic acid binding domain, OB-fold nucleic acid binding domain, AA-tRNA synthetase-type, LYSINE--TRNA LIGASE, -, Lysyl-tRNA synthetase signature, Lysyl-tRNA synthetase, class II, C-terminal, Bira Bifunctional Protein; Domain 2, Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), Putative tRNA binding domain, tRNA synthetases class II (D, K and N), Aminoacyl-tRNA synthetase, class II (D/K/N), LYSYL-TRNA SYNTHETASE, LysRS_N, Lysine-tRNA ligase, class II, N-terminal, Aminoacyl-transfer RNA synthetases class-II family profile., Aminoacyl-tRNA synthetase, class II, Nucleic acid-binding proteins, Nucleic acid-binding, OB-fold, lysS_bact: lysine--tRNA ligase, Lysine-tRNA ligase, class II, LysRS_core, Lysine--tRNA ligase [lysS]., Class II aaRS and biotin synthetases
G_132557_0_23_Staphylococcus_haemolyticus	lacE: PTS system, lactose/cellobiose family IIC component, Phosphotransferase system, EIIC component, type 3, consensus disorder prediction, -, PTS_IIB_lactose, PTS system lactose-specific EIICB component, IIB domain, Phosphotransferase system, EIIC, lac_pts_IIC: PTS system, lactose-specific IIC component, Phosphotransferase system, lactose-specific IIC component, PERMEASE IIC COMPONENT, Coil, PTS system, Lactose/Cellobiose specific IIB subunit, Phosphotransferase system, EIIB component, type 2/3, pts-lac: PTS system, lactose/cellobiose family IIB component, Phosphotransferase system, EIIB component, type 3, PTS_EIIC type-3 domain profile., PTS_EIIB type-3 domain profile., PTS system IIB component-like, PTS system IIB component-like superfamily
G_49796_0_3_Limosilactobacillus_reuteri	RelE-like, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, YoeB-like toxin of bacterial type II toxin-antitoxin system, Toxin YoeB, -, TOXIN YOEB, toxin_Txe_YoeB: addiction module toxin, Txe/YoeB family
G_100718_0_60_Ruminococcus_sp._OM05-10BH	Family of unknown function (DUF5688), Family of unknown function DUF5688
G_6812_0_11_Blautia_obeum	-, ALDEHYDE OXIDOREDUCTASE MOLYBDENUM COFACTOR ASSEMBLY PROTEIN, XdhC and CoxI family, XdhC- CoxI, XdhC Rossmann domain
G_49494_0_5_Ligilactobacillus_salivarius	Helix-turn-helix domain, Transposase IS30-like HTH domain, TRANSPOSASE, -, Integrase catalytic domain profile., Integrase, catalytic core, Ribonuclease H superfamily, Ribonuclease H-like, Ribonuclease H-like superfamily
G_49593_2_7_Limosilactobacillus_coleohominis	Coil, -
G_48777_0_6_Lentilactobacillus_kisonensis	Zn-binding ribosomal proteins, Zinc-binding ribosomal protein, Uncharacterised protein family UPF0547, Uncharacterised domain UPF0547, -, Ribosomal protein L40e superfamily
G_46088_0_1_Lacticaseibacillus_zeae	-, Mur-like, catalytic domain superfamily, MurD-like peptide ligases, peptide-binding domain, Mur ligase, C-terminal domain superfamily, MurD-like peptide ligases, catalytic domain, murD: UDP-N-acetylmuramoylalanine--D-glutamate ligase, UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD, UDP-N-acetylmuramoylalanine--D-glutamate ligase [murD]., Mur ligase family, glutamate ligase domain, Mur ligase, C-terminal, MurCD N-terminal domain, UDP-N-ACETYLMURAMOYLALANINE--D-GLUTAMATE LIGASE, Mur ligase middle domain, Mur ligase, central
G_100718_0_17_Ruminococcus_sp._OM05-10BH	Cro/C1-type HTH domain profile., Cro/C1-type helix-turn-helix domain, lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, mbf_short4, Helix-turn-helix, HTH_XRE, -
G_49938_1_4_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_99958_0_42_Porcincola_intestinalis	Domain of unknown function (DUF1858), Domain of unknown function DUF1858, -, ScdA-like, N-terminal domain superfamily, BSL7085 PROTEIN, Conserved hypothetical protein CHP03980,  redox-disulphide, prismane_assoc: hybrid cluster protein-associated redox disulfide domain, SP0561-like
G_45356_0_25_Hespellia_stercorisuis	Coil, -, T5orf172 domain, Bacteriophage T5, Orf172 DNA-binding, P-loop containing nucleoside triphosphate hydrolases, P-loop containing nucleoside triphosphate hydrolase, T5orf172_2
G_50017_0_1_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction, Lreu_0056_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_49864_0_3_Limosilactobacillus_reuteri	Putative DNA-binding domain, Putative DNA-binding domain superfamily, excise: DNA binding domain, excisionase family, SinI-like, DNA-binding domain, Helix-turn-helix domain, Helix-turn-helix domain, group 17
G_49852_1_65_Limosilactobacillus_reuteri	consensus disorder prediction, -, N-6 DNA Methylase, DNA methylase, adenine-specific, DNA METHYLTRANSFERASE YEEA-RELATED, S-adenosyl-L-methionine-dependent methyltransferases, S-adenosyl-L-methionine-dependent methyltransferase, Vaccinia Virus protein VP39
G_6812_0_1_Blautia_obeum	Acetyl-CoA synthetase-like, -, AMP-binding enzyme, AMP-dependent synthetase/ligase, BLR5969 PROTEIN, ANL, N-terminal domain
G_49593_1_20_Limosilactobacillus_coleohominis	Hexapeptide repeat proteins, -, SIALIC ACID SYNTHASE-RELATED, Trimeric LpxA-like enzymes, Trimeric LpxA-like superfamily, Bacterial transferase hexapeptide (six repeats), Hexapeptide repeat
G_21819_0_42_Clostridium_sp._SY8519	Replication regulatory protein RepB, Replication regulatory protein RepA2, -, Arc-type ribbon-helix-helix
G_6949_0_29_Butyricicoccus_sp._AM42-5AC	consensus disorder prediction, -, Defence against restriction A C-terminal, Defence against restriction A, C-terminal
G_50133_0_14_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_50113_0_14_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_50021_0_21_Limosilactobacillus_reuteri	Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -
G_21819_0_49_Clostridium_sp._SY8519	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, -, resolvase_6
G_49930_0_27_Limosilactobacillus_reuteri	HxlR-type HTH domain profile., Helix-turn-helix, HxlR type, HTH_ARSR, ArsR-like helix-turn-helix domain, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-like helix-turn-helix, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily
G_49887_0_7_Limosilactobacillus_reuteri	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, HTH_XRE, Cro/C1-type helix-turn-helix domain, -, Coil, Helix-turn-helix, Cro/C1-type HTH domain profile., mbf_short4
G_50048_0_11_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_50003_0_24_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_50021_0_32_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_49978_0_24_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_49986_0_11_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_50037_0_11_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_50067_0_24_Limosilactobacillus_reuteri	Nucleoside phosphorylase domain, Nucleoside phosphorylase superfamily, Phosphorylase superfamily, URIDINE PHOSPHORYLASE, -, UP_EcUdp-like, Purine and other phosphorylases family 1 signature., Nucleoside phosphorylase, conserved site, Purine and uridine phosphorylases
G_6710_0_35_Blautia_obeum	Serine dehydratase beta chain, -, ACT domain profile., ACT domain, Allosteric substrate binding domain superfamily, L-SERINE DEHYDRATASE, BETA CHAIN-RELATED, Serine metabolism enzymes domain, sda_beta: L-serine dehydratase, iron-sulfur-dependent, beta subunit, Iron-sulphur-dependent L-serine dehydratase beta subunit, SDH_B, L-SERINE DEHYDRATASE, ACT_LSD, ACT-like, ACT-like domain
G_48117_0_6_Lactobacillus_sp._M31	-, Lambda repressor-like, DNA-binding domain superfamily, mbf_short4, Cro/C1-type helix-turn-helix domain, Cro/C1-type HTH domain profile., HTH_XRE, Helix-turn-helix, lambda repressor-like DNA-binding domains
G_49977_0_14_Limosilactobacillus_reuteri	RelE-like, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, -, Bacterial toxin of type II toxin-antitoxin system, YafQ, Toxin-antitoxin system, YafQ-like toxin
G_50100_1_14_Limosilactobacillus_reuteri	IS66 Orf2 like protein, Transposase IS66, Orf2, -
G_50166_1_14_Limosilactobacillus_reuteri	IS66 Orf2 like protein, Transposase IS66, Orf2, -
G_50089_1_14_Limosilactobacillus_reuteri	IS66 Orf2 like protein, Transposase IS66, Orf2, -
G_50091_0_7_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_50173_0_7_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_50095_0_7_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_49984_0_7_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_49794_1_4_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_50090_0_8_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_97256_0_26_Loigolactobacillus_backii	-, RNA-binding S4 domain superfamily, S4 RNA-binding domain profile., Ribosomal protein S4 signature., Ribosomal protein S4, conserved site, 30S ribosomal protein S4 [rpsD]., Ribosomal protein S4, bacterial-type, Ribosomal_S4_2, Ribosomal protein S4/S9, N-terminal, Ribosomal Protein S4 Delta 41; Chain A, domain 1, S4 domain, RNA-binding S4 domain, 30S 40S RIBOSOMAL PROTEIN, Ribosomal protein S4/S9, Alpha-L RNA-binding motif, s4_6, S4, Ribosomal protein S4/S9 N-terminal domain, consensus disorder prediction, 37S RIBOSOMAL PROTEIN NAM9, MITOCHONDRIAL, rpsD_bact: ribosomal protein uS4
G_45356_0_22_Hespellia_stercorisuis	SLL5132 PROTEIN, -, Domain of unknown function (DUF5655), Domain of unknown function DUF5655
G_50055_0_1_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction
G_49661_0_10_Ligilactobacillus_salivarius	Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, -
G_6756_0_27_Blautia_sp._OM07-19	TRANSCRIPTIONAL REGULATOR, XYLR-RELATED, -, NBD_sugar-kinase_HSP70_actin, Winged helix-like DNA-binding domain superfamily, ROK (REPRESSOR, ORF, KINASE) FAMILY, ROK family, Actin-like ATPase domain, ATPase, nucleotide binding domain, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, Winged helix-turn-helix DNA-binding
G_50055_0_3_Limosilactobacillus_reuteri	Coil, -
G_132944_0_2_Staphylococcus_hominis	Coil, -, consensus disorder prediction
G_50100_1_2_Limosilactobacillus_reuteri	INT_ICEBs1_C_like, -, PHAGE INTEGRASE-RELATED, Tyrosine recombinase domain profile., Integrase, catalytic domain, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Integrase/recombinase, N-terminal, Phage integrase family, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal
G_50089_1_2_Limosilactobacillus_reuteri	INT_ICEBs1_C_like, -, PHAGE INTEGRASE-RELATED, Tyrosine recombinase domain profile., Integrase, catalytic domain, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Integrase/recombinase, N-terminal, Phage integrase family, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal
G_50166_1_2_Limosilactobacillus_reuteri	INT_ICEBs1_C_like, -, PHAGE INTEGRASE-RELATED, Tyrosine recombinase domain profile., Integrase, catalytic domain, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Integrase/recombinase, N-terminal, Phage integrase family, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal
G_6979_0_25_Butyricicoccus_sp._OM04-18BH	Family of unknown function (DUF5906), Domain of unknown function DUF5906, P-loop containing nucleoside triphosphate hydrolases, P-loop containing nucleoside triphosphate hydrolase, -, Superfamily 3 helicase of DNA viruses domain profile., Helicase, superfamily 3, DNA virus, ATP BINDING PROTEIN-RELATED
G_49938_0_31_Limosilactobacillus_reuteri	FIDO DOMAIN-CONTAINING PROTEIN DDB_G0283145, Fido domain-containing protein, Fic-like, Fido-like domain superfamily, Fido domain profile., Fido domain, -, PROTEIN ADENYLYLTRANSFERASE AQ_AA38-RELATED, Fic/DOC family
G_97256_0_5_Loigolactobacillus_backii	Protein of unknown function (DUF4044), Protein of unknown function DUF4044
G_50090_1_10_Limosilactobacillus_reuteri	Coil, -
G_129345_0_11_Staphylococcus_epidermidis	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_6583_0_30_Blautia_obeum	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_105545_0_10_Staphylococcus_aureus	Coil, -, Penicillinase repressor, BlaI transcriptional regulatory family, Penicillinase repressor domain, CopR_AtkY, Winged helix-like DNA-binding domain superfamily, COPAB ATPASES METAL-FIST TYPE REPRESSOR, TRANSCRIPTIONAL REGULATOR BLAI, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily
G_50071_0_1_Limosilactobacillus_sp._Sa3CUN2	Coil, -, Domain of Unknown Function (DUF1542), Domain of unknown function DUF1542, LPXTG cell wall anchor motif, LPXTG cell wall anchor domain, Gram-positive cocci surface proteins LPxTG motif profile., consensus disorder prediction, LPXTG_anchor: LPXTG cell wall anchor domain
G_21819_0_46_Clostridium_sp._SY8519	-, Lambda repressor-like, DNA-binding domain superfamily, lambda repressor-like DNA-binding domains, Coil, HTH_XRE, Cro/C1-type helix-turn-helix domain, HTH-TYPE TRANSCRIPTIONAL REGULATOR, Cro/C1-type HTH domain profile., mbf_short4, Helix-turn-helix
G_49955_1_13_Limosilactobacillus_reuteri	Coil, -
G_49593_1_16_Limosilactobacillus_coleohominis	Phosphoglycerate mutase family phosphohistidine signature., Phosphoglycerate/bisphosphoglycerate mutase, active site, PHOSPHOGLYCERATE MUTASE, Phosphoglycerate mutase 1, -, Histidine phosphatase superfamily, Phosphoglycerate mutase-like, PGAM_5, Histidine phosphatase superfamily, clade-1, Histidine phosphatase superfamily (branch 1), pgm_1: phosphoglycerate mutase 1 family, 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA]., 6PFK_fruc_bisph_Ptase, HP_PGM_like
G_6571_0_36_Blautia_obeum	ATP DEPENDENT LON PROTEASE FAMILY MEMBER, Lon protease, TIGR02688: TIGR02688 family protein, Lon-like protease BrxL-like, Lon_rel_chp: conserved hypothetical protein, Lon-like protease BrxL, Putative ATP-dependent Lon protease, ATP-DEPENDENT LON PROTEASE-RELATED, -
G_131572_0_1_Staphylococcus_epidermidis	consensus disorder prediction, -
G_50019_0_10_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, -
G_49810_0_20_Limosilactobacillus_reuteri	Cation efflux protein transmembrane domain-like, Cation efflux transmembrane domain superfamily, Cation efflux family, Cation efflux protein, Cation efflux protein cytoplasmic domain-like, Cation efflux protein, cytoplasmic domain superfamily, MITOCHONDRIAL METAL TRANSPORTER 1-RELATED, -, Dimerisation domain of Zinc Transporter, Cation efflux protein, cytoplasmic domain, CDF: cation diffusion facilitator family transporter, Cation efflux protein transmembrane domain
G_6571_0_35_Blautia_obeum	Coil, -, P-loop containing nucleoside triphosphate hydrolase, PHP_HisPPase, PHP domain-like, Polymerase/histidinol phosphatase-like, P-loop containing nucleoside triphosphate hydrolases
G_49792_0_3_Limosilactobacillus_reuteri	consensus disorder prediction, -, Coil, Relaxase/Mobilisation nuclease domain, Endonuclease relaxase, MobA/VirD2
G_49844_0_3_Limosilactobacillus_reuteri	consensus disorder prediction, -, Coil, Relaxase/Mobilisation nuclease domain, Endonuclease relaxase, MobA/VirD2
G_136566_0_3_Staphylococcus_warneri	Coil, -, Bacterial mobilisation protein (MobC), Bacterial mobilisation
G_46088_0_14_Lacticaseibacillus_zeae	shape_MreD: rod shape-determining protein MreD, Cell shape-determining protein MreD, rod shape-determining protein MreD
G_49782_0_7_Limosilactobacillus_reuteri	YoeB-like toxin of bacterial type II toxin-antitoxin system, Toxin YoeB, TOXIN YOEB, -, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, RelE-like, toxin_Txe_YoeB: addiction module toxin, Txe/YoeB family
G_49819_0_7_Limosilactobacillus_reuteri	YoeB-like toxin of bacterial type II toxin-antitoxin system, Toxin YoeB, TOXIN YOEB, -, Toxin-antitoxin system, RelE/ParE toxin domain superfamily, RelE-like, toxin_Txe_YoeB: addiction module toxin, Txe/YoeB family
G_49810_0_27_Limosilactobacillus_reuteri	SPHINGOSINE-1-PHOSPHATE PHOSPHOHYDROLASE, -, AT30094P, acid_phosph_2, Phosphatidic acid phosphatase type 2/haloperoxidase, Acid phosphatase/Vanadium-dependent haloperoxidase, Phosphatidic acid phosphatase type 2/haloperoxidase superfamily, PAP2_like, PAP2 superfamily
G_6535_0_11_Blautia_obeum	Adenine nucleotide alpha hydrolases-like, -, MITOCHONDRIAL TRNA-SPECIFIC 2-THIOURIDYLASE 1, tRNA-specific 2-thiouridylase MnmA [mnmA]., tRNA-specific 2-thiouridylase, tRNA methyl transferase, trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, TRNA  5-METHYLAMINOMETHYL-2-THIOURIDYLATE -METHYLTRANSFERASE, Translation factors, tRNA_Me_trans, Adenine nucleotide alpha hydrolase-like domains
G_128858_0_11_Staphylococcus_epidermidis	TRANSPOSASE, -, Transposase DDE domain, Transposase, IS4-like, Transposase domain (DUF772), Transposase InsH, N-terminal
G_6710_0_48_Blautia_obeum	Periplasmic binding protein-like domain, Transcriptional regulator LacI/GalR-like, sensor domain, -, Lambda repressor-like, DNA-binding domain superfamily, HTH_LacI, LacI-type HTH domain, Periplasmic binding protein-like I, LacI-type HTH domain profile., LACI-RELATED TRANSCRIPTIONAL REPRESSOR, Bacterial regulatory proteins, lacI family, PBP1_LacI_sugar_binding-like, laci3, lambda repressor-like DNA-binding domains
G_49887_0_8_Limosilactobacillus_reuteri	Coil, -, Gram-positive cocci surface proteins LPxTG motif profile., LPXTG cell wall anchor domain, Surf_Exclu_PgrA: SEC10/PgrA surface exclusion domain, SEC10/PgrA surface exclusion domain, consensus disorder prediction
G_129022_0_4_Staphylococcus_epidermidis	consensus disorder prediction, -, Coil
G_131161_0_7_Staphylococcus_epidermidis	consensus disorder prediction, -, Coil
G_131395_0_6_Staphylococcus_epidermidis	consensus disorder prediction, -, Coil
G_149386_0_7_Contaminated	consensus disorder prediction, -, Coil
G_50089_0_13_Limosilactobacillus_reuteri	HOLOCARBOXYLASE SYNTHETASE (BIOTIN-(PROPRIONYL-COA-CARBOXYLASE (ATP-HYDROLYSING)) LIGASE), -, Biotin/lipoate A/B protein ligase family, Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain, Class II aaRS and biotin synthetases, Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), BIOTIN PROTEIN LIGASE, birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase, Biotin--acetyl-CoA-carboxylase ligase, BPL, Bira Bifunctional Protein; Domain 2
G_50166_0_10_Limosilactobacillus_reuteri	HOLOCARBOXYLASE SYNTHETASE (BIOTIN-(PROPRIONYL-COA-CARBOXYLASE (ATP-HYDROLYSING)) LIGASE), -, Biotin/lipoate A/B protein ligase family, Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain, Class II aaRS and biotin synthetases, Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), BIOTIN PROTEIN LIGASE, birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase, Biotin--acetyl-CoA-carboxylase ligase, BPL, Bira Bifunctional Protein; Domain 2
G_130926_0_10_Staphylococcus_epidermidis	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_132944_0_3_Staphylococcus_hominis	Coil, -
G_124259_0_4_Staphylococcus_aureus	Coil, -
G_131616_0_6_Staphylococcus_epidermidis	Coil, -
G_131011_0_4_Staphylococcus_epidermidis	Coil, -
G_131009_0_6_Staphylococcus_epidermidis	Coil, -
G_131022_0_4_Staphylococcus_epidermidis	Coil, -
G_128724_0_5_Staphylococcus_epidermidis	Coil, -
G_112260_0_4_Staphylococcus_aureus	Coil, -
